longitude,latitude,light_intensity,year,normalized_light_intensity
121.5291690789,25.0499996004,86.2522,2021,0.334817270323249
121.5333357456,25.0499996004,80.91562,2021,0.3141015187428644
121.5708357459,25.0499996004,78.4291,2021,0.304449245073275
121.5750024126,25.0499996004,78.54112,2021,0.3048840888293949
121.5791690793,25.0499996004,79.288414,2021,0.3077849648326614
121.5083357454,25.0458329337,98.52784,2021,0.382469345009702
121.5125024121,25.0458329337,95.56883,2021,0.3709829405926646
121.5166690788,25.0458329337,88.338165,2021,0.3429146534310403
121.5208357455,25.0458329337,83.56456,2021,0.3243842809222647
121.5083357454,25.041666267,97.7362,2021,0.3793963249142297
121.5125024121,25.041666267,87.64501,2021,0.340223936382537
121.5666690792,25.0374996003,108.98339,2021,0.4230561208916882
121.5708357459,25.0374996003,88.48587,2021,0.343488020660086
121.5666690792,25.0333329336,101.058014,2021,0.3922910765379744
121.5708357459,25.0333329336,91.79657,2021,0.3563396295101695
121.2208357431,24.9624995997,79.68389,2021,0.3093201395273168
121.2208357431,24.958332933,90.60532,2021,0.3517153871920307
121.2250024098,24.958332933,86.341125,2021,0.3351624629764624
121.2208357431,24.9541662663,78.29763,2021,0.3039388995223279
121.2250024098,24.9541662663,82.93485,2021,0.3219398472348311
120.6333357384,24.1749995934,77.92969,2021,0.3025106151835778
120.6375024051,24.1749995934,81.291245,2021,0.3155596350247119
120.6375024051,24.1708329267,84.61407,2021,0.3284583111890515
120.6375024051,24.16666626,77.791664,2021,0.3019748202872895
120.6791690721,24.1499995932,78.291725,2021,0.3039159772550551
120.6750024054,24.1458329265,80.15149,2021,0.3111352880754483
120.6791690721,24.1458329265,85.88574,2021,0.3333947311082184
120.6875024055,24.1416662598,78.87346,2021,0.306174179651649
